skills,is_hot_technology,id
sox cobit,False,350
spring framework,True,351
symantec veritas file system,False,352
symantec veritas volume manager,False,353
telnet programs software,False,354
tksoftware,False,355
unified modeling language uml,True,356
unix,True,357
virtual private networking vpn software,True,358
zephyr extra! terminal emulation,False,359
"aderant expert back office, powered by keystone",True,360
adp software,True,361
automatic data processing pc payroll for windows pcpw,False,362
corel quattropro,False,363
deltek,True,364
exact software macola es,True,365
hyperion enterprise,False,366
hyperion solutions system 9 planning,True,367
ibm lotus 1-2-3,False,368
infor erp syteline,True,369
job costing software,False,370
microsoft dynamics sl,True,371
myob premier accounting small business suite,False,372
oracle hyperion planning,False,373
sage fixed asset solution fas,False,374
sage mip fund accounting,False,375
accounts receivable software,False,376
ares corporation prism project estimator,False,377
credit management software,False,378
healthcare common procedure coding system hcpcs,True,379
internet browser software,False,380
moody's kmv famas,False,381
word processing software,False,382
abb optimize it predict & control,False,383
citect iim,False,384
citectscada reports,False,385
clockware,False,386
computer aided design cad software,True,387
computer integrated manufacturing cim software,False,388
computer integrated manufacturing cim time manager software,False,389
computer integrated manufacturing cim warehouse shipping manager software,False,390
employee performance management system,False,391
exact software jobboss,False,392
financial planning software,False,393
ibm rational clearquest,False,394
industrial production manager and stock control software,False,395
intuit quickbooks manufacturing & wholesale,False,396
marel production system mps,False,397
plant management software,False,398
processpro premier,True,399
prosys,False,400
ptc creo parametric,True,401
qumas,False,402
scadex technologies maestro,False,403
schneider electric citectscada,False,404
statistical process control spc software,False,405
wonderware intouch,False,406
workschedule.net,False,407
abbot informatics starlims,False,408
asi datamyte gagemetrics,False,409
asi datamyte qda,False,410
asidatamyte datametrics,False,411
cama software quality collaboration by design qcbd,False,412
cebos mq1 software,False,413
computing solutions labsoft lims,False,414
core informatics laboratory information management system lims,False,415
etq reliance,False,416
harrington group caweb,False,417
harrington group hqms,False,418
hewlett packard loadrunner,False,419
illumina laboratory information management system lims,False,420
infinity qs proficient,False,421
lablite laboratory information management systems lims,False,422
laboratory automated quality control systems laqc,False,423
labvantage solutions lims,False,424
mastercontrol software,False,425
pearson education phstat2,False,426
pq systems chartrunner lean,False,427
pq systems gagepack,False,428
pq systems measurespy,False,429
pq systems sqcpack,False,430
promium element datasystem lims,False,431
quality systems international winlims,False,432
selenium,True,433
sparta systems trackwise,False,434
statgraphics,False,435
systat software lisa.lims,False,436
thermo fisher scientific laboratory information management systems lims,False,437
vivaldi software vivaldi quality management,False,438
datalogging software,False,439
infostat rimbase,False,440
computerized maintenance management system cmms,False,441
distributed control system dcs,False,442
employee scheduling software,False,443
human machine interface hmi software,False,444
inventory control software,False,445
landfill gas analysis software,False,446
